genus	host.source
Chlorovirus	algae
Chlurivirus	bacteria
Chobevirus	bacteria
Choctavirus	bacteria
Chopinvirus	bacteria
Chordovirus	plants
Chorovirus	bacteria
Chosvirus	bacteria
Chounavirus	bacteria
Christensenvirus	bacteria
Chrysonvirus	bacteria
Chuhaivirus	bacteria
Chunghsingvirus	bacteria
Chuvivirus	invertebrates
Cicadellivirus	invertebrates
Cihsnivirus	bacteria
Cilevirus	invertebrates+plants
Cimandefvirus	bacteria
Cimpunavirus	bacteria
Cinqassovirus	bacteria
Cintrevirus	bacteria
Cinunavirus	bacteria
Circovirus	invertebrates+vertebrates
Citexvirus	bacteria
Citlodavirus	plants
Citricivirus	invertebrates
Citrivirus	plants
Citrovirus	bacteria
Clampvirus	archaea
Claudivirus	bacteria
Clavavirus	archaea
Clawzvirus	bacteria
Clecrusatellite	plants
Clitovirus	bacteria
Closterovirus	plants
Clostunsatellite	plants
Clownvirus	bacteria
Coatlandelriovirus	bacteria
Cobrasixvirus	bacteria
Cocadviroid	plants
Coccolithovirus	algae
Cocosatellite	plants
Coetzeevirus	bacteria
Coeurvirus	bacteria
Cofodevirus	plants
Coguvirus	fungi+plants
Cohcovirus	bacteria
Cohrdavirus	bacteria
Colecusatellite	plants
Coleviroid	plants
Colneyvirus	bacteria
Colossusvirus	bacteria
Coltivirus	invertebrates+vertebrates
Colunavirus	bacteria
Comovirus	plants
Condavirus	bacteria
Controvirus	bacteria
Coopervirus	bacteria
Copasivirus	invertebrates
Copernicusvirus	bacteria
Copiparvovirus	vertebrates
Coprasatellite	plants
Coralvirus	bacteria
Coriovirus	bacteria
Corndogvirus	bacteria
Cornellvirus	bacteria
Cornievirus	bacteria
Corticovirus	bacteria
Coruscantvirus	bacteria
Cosavirus	vertebrates
Cosmacovirus	vertebrates
Cotonvirus	protists
Coventryvirus	bacteria
Crahelivirus	vertebrates
Craquatrovirus	bacteria
Creshivirus	bacteria
Crifsvirus	bacteria
Crinivirus	plants
Cripavirus	invertebrates
Crocodylidpoxvirus	vertebrates
Crohivirus	vertebrates
Cronosvirus	bacteria
Cronusvirus	bacteria
Crustavirus	invertebrates
Cryspovirus	protists
Cuauhnahuacvirus	bacteria
Cuauhtlivirus	bacteria
Cucumovirus	plants
Cuernavacavirus	bacteria
Cuevavirus	vertebrates
Cukevirus	bacteria
Culicidavirus	invertebrates
Culoivirus	bacteria
Cultervirus	vertebrates
Cunarovirus	bacteria
Cunavirus	bacteria
Curiovirus	invertebrates
Curtovirus	plants
Cyamitesvirus	bacteria
Cybitervirus	invertebrates
Cyclitvirus	bacteria
Cyclophivirus	vertebrates
Cyclovirus	invertebrates+plants+vertebrates
Cymopoleiavirus	bacteria
Cynoglossusvirus	vertebrates
Cypovirus	invertebrates
Cystovirus	bacteria
Cytomegalovirus	vertebrates
Cytorhabdovirus	invertebrates+plants
Cyvirus	vertebrates
Daazvirus	vertebrates
Dabirmavirus	bacteria
Daemvirus	bacteria
Dagavirus	bacteria
Dagazvirus	vertebrates
Dahmuivirus	bacteria
Dahmuvirus	bacteria
Dalettorquevirus	vertebrates
Daletvirus	vertebrates
Dalianvirus	bacteria
Dalvirus	vertebrates
Damravirus	invertebrates
Danipivirus	vertebrates
Daphniairidovirus	invertebrates
Dardanusvirus	bacteria
Daredevilvirus	bacteria
Darnbovirus	bacteria
Decadevirus	bacteria
Decapodiridovirus	invertebrates
Dechshavirus	bacteria
Decurrovirus	bacteria
Deepoceanvirus	archaea
Deevirus	vertebrates
Dehcevirus	bacteria
Dehgumevirus	bacteria
Dehkhevirus	bacteria
Delepquintavirus	bacteria
Delislevirus	bacteria
Delmidovirus	bacteria
Deltaarterivirus	vertebrates
Deltabaculovirus	invertebrates
Deltacoronavirus	vertebrates
Deltaentomopoxvirus	invertebrates
Deltaflexivirus	fungi+plants
Deltahypovirus	invertebrates
Deltainfluenzavirus	vertebrates
Deltalipothrixvirus	archaea
Deltanudivirus	invertebrates
Deltapapillomavirus	vertebrates
Deltapartitivirus	plants
Deltapolyomavirus	vertebrates
Deltaretrovirus	vertebrates
Deltasatellite	plants
Deltascleroulivirus	algae+fungi
Deltatectivirus	bacteria
Deltatorquevirus	vertebrates
Deltavirus	vertebrates
Delusorvirus	archaea
Demapteravirus	invertebrates
Demiitzamnavirus	archaea
Demosthenesvirus	bacteria
Dendoorenvirus	bacteria
Denfovirus	bacteria
Denisevirus	bacteria
Denvervirus	bacteria
Depandovirus	bacteria
Dependoparvovirus	vertebrates
Derbicusvirus	bacteria
Deseoctovirus	bacteria
Detrevirus	bacteria
Deurplevirus	bacteria
Dexdertvirus	bacteria
Dhakavirus	bacteria
Dhillonvirus	bacteria
Dianlovirus	vertebrates
Dianthovirus	plants
Diatodnavirus	algae
Dibaevirus	bacteria
Dibbivirus	bacteria
Dichorhavirus	invertebrates+plants
Diciambidensovirus	invertebrates
Dicipivirus	vertebrates
Diegovirus	bacteria
Dihsdivirus	bacteria
Dilzevirus	bacteria
Dinavirus	bacteria
Dinodnavirus	algae
Dinogtaviriform	bacteria
Dinornavirus	algae
Dinovernavirus	invertebrates
Diorhovirus	bacteria
Dioscovirus	plants
Diresapivirus	vertebrates
Dismasvirus	bacteria
Divavirus	plants
Diydovirus	bacteria
Dobrovirus	vertebrates
Dohlivirus	bacteria
Dohnjavirus	bacteria
Doliuvirus	invertebrates
Dolusvirus	archaea
Donellivirus	bacteria
Dongdastvirus	bacteria
Dorisvirus	bacteria
Dosmizivirus	bacteria
Doucettevirus	bacteria
Douglaswolinvirus	bacteria
Doupovirus	invertebrates
Dpdavirus	archaea
Draflysatellite	invertebrates
Dragolirvirus	bacteria
Dragsmacovirus	invertebrates
Draselvirus	invertebrates
Drivevirus	bacteria
Dronavirus	invertebrates
Drosmacovirus	vertebrates
Drulisvirus	bacteria
Drunivirus	invertebrates
Duamitovirus	fungi+plants
Dubowvirus	bacteria
Dubuvirus	bacteria
Dugnivirus	bacteria
Duhcivirus	bacteria
Dunedinvirus	bacteria
Duodecimduovirus	bacteria
Duonihilunusvirus	bacteria
Dybvigvirus	bacteria
Dyochipapillomavirus	vertebrates
Dyodeltapapillomavirus	vertebrates
Dyoepsilonpapillomavirus	vertebrates
Dyoetapapillomavirus	vertebrates
Dyoiotapapillomavirus	vertebrates
Dyokappapapillomavirus	vertebrates
Dyolambdapapillomavirus	vertebrates
Dyomupapillomavirus	vertebrates
Dyonupapillomavirus	vertebrates
Dyoomegapapillomavirus	vertebrates
Dyoomikronpapillomavirus	vertebrates
Dyophipapillomavirus	vertebrates
Dyopipapillomavirus	vertebrates
Dyopsipapillomavirus	vertebrates
Dyorhopapillomavirus	vertebrates
Dyosigmapapillomavirus	vertebrates
Dyotaupapillomavirus	vertebrates
Dyothetapapillomavirus	vertebrates
Dyoupsilonpapillomavirus	vertebrates
Dyoxipapillomavirus	vertebrates
Dyozetapapillomavirus	vertebrates
Eagleeyevirus	bacteria
Eapunavirus	bacteria
Eastlansingvirus	bacteria
Eceepunavirus	bacteria
Eclunavirus	bacteria
Edenvirus	bacteria
Efbeekayvirus	bacteria
Efekovirus	bacteria
Efquatrovirus	bacteria
Eganvirus	bacteria
Eiauvirus	bacteria
Eilatmyovirus	archaea
Eisenstarkvirus	bacteria
Elaviroid	plants
Eldridgevirus	bacteria
Electravirus	bacteria
Elemovirus	bacteria
Elerivirus	bacteria
Elmenteitavirus	bacteria
Elpedvirus	bacteria
Elunavirus	bacteria
Elveevirus	bacteria
Elvirus	bacteria
Emalynvirus	bacteria
Emaravirus	plants
Emcearvirus	bacteria
Emdodecavirus	bacteria
Emesvirus	bacteria
Emnonavirus	bacteria
Emperorvirus	bacteria
Empivirus	bacteria
Enamovirus	plants
Enchivirus	bacteria
Endehruvirus	bacteria
Endlipuvirus	bacteria
Eneladusvirus	bacteria
Enfavirus	bacteria
Enhodamvirus	bacteria
Enquatrovirus	bacteria
Enterogokushovirus	bacteria
Enterovirus	vertebrates
Entnonagintavirus	bacteria
Entomobirnavirus	invertebrates
Entovirus	fungi
Eosonovirus	bacteria
Eowynvirus	bacteria
Epaquintavirus	bacteria
Ephemerovirus	invertebrates+vertebrates
Eponavirus	bacteria
Epseptimavirus	bacteria
Epsilonarterivirus	vertebrates
Epsilonhypovirus	fungi
Epsilonpapillomavirus	vertebrates
Epsilonpolyomavirus	vertebrates
Epsilonretrovirus	vertebrates
Epsilonscleroulivirus	algae+fungi
Epsilontectivirus	bacteria
Epsilontorquevirus	vertebrates
Equispumavirus	vertebrates
Eracentumvirus	bacteria
Eragrovirus	plants
Erbovirus	vertebrates
Eregrovirus	bacteria
Ericdabvirus	bacteria
Erimutivirus	bacteria
Ermolevavirus	bacteria
Errantivirus	invertebrates
Erskinevirus	bacteria
Erythroparvovirus	vertebrates
Espurtavirus	bacteria
Etaarterivirus	vertebrates
Etahypovirus	fungi
Etapapillomavirus	vertebrates
Etapolyomavirus	vertebrates
Etatorquevirus	vertebrates
Etdyvivirus	bacteria
Eurybiavirus	bacteria
Evevirus	bacteria
Exceevirus	bacteria
Eyrevirus	bacteria
Fabavirus	plants
Fabenesatellite	plants
Fadolivirus	protists
Fagihovirus	bacteria
Fagihyuvirus	bacteria
Fahrmivirus	bacteria
Fairfaxidumvirus	bacteria
Faithunavirus	bacteria
Fajavirus	bacteria
Farahnazvirus	bacteria
Fattrevirus	bacteria
Faunusvirus	bacteria
Faustvirus	bacteria
Febihevirus	bacteria
Fejonovirus	bacteria
Felipivirus	vertebrates
Felismacovirus	vertebrates
Felispumavirus	vertebrates
Felixounavirus	bacteria
Felsduovirus	bacteria
Fengtaivirus	bacteria
Feofaniavirus	bacteria
Ferahgovirus	bacteria
Feravirus	invertebrates
Ferlavirus	vertebrates
Fernvirus	bacteria
Ferozepurvirus	bacteria
Fibralongavirus	bacteria
Fibrovirus	bacteria
Ficleduovirus	bacteria
Fijivirus	invertebrates+plants
Finchvirus	bacteria
Finnlakevirus	bacteria
Finvirus	bacteria
Fionnbharthvirus	bacteria
Fipivirus	vertebrates
Fipvunavirus	bacteria
Firavirus	bacteria
Firehammervirus	bacteria
Firingavirus	bacteria
Firunevirus	bacteria
Fischettivirus	bacteria
Fishburnevirus	bacteria
Fiyodovirus	bacteria
Flagovirus	archaea
Flaumdravirus	bacteria
Fletchervirus	bacteria
Flowerpowervirus	bacteria
Fluruvirus	bacteria
Foetvirus	bacteria
Fohxhuevirus	bacteria
Formivirus	invertebrates
Forzavirus	bacteria
Foturvirus	bacteria
Foussvirus	bacteria
Foveavirus	plants
Fowlmouthvirus	bacteria
Foxborovirus	bacteria
Foxquatrovirus	bacteria
Foxunavirus	bacteria
Franklinbayvirus	bacteria
Fraservirus	vertebrates
Fremauxvirus	bacteria
Freyavirus	bacteria
Friunavirus	bacteria
Frobavirus	bacteria
Fromanvirus	bacteria
Fudhoevirus	bacteria
Fukuivirus	bacteria
Furovirus	plants
Fussvirus	bacteria
Gahlinevirus	bacteria
Gahlovirus	bacteria
Gahmegovirus	bacteria
Gaiavirus	bacteria
Gajwadongvirus	bacteria
Galateavirus	bacteria
Galaxyvirus	bacteria
Galenevirus	bacteria
Gallantivirus	plants
Gallivirus	vertebrates
Galunavirus	bacteria
Galvastonvirus	bacteria
Galvornvirus	protists (S)
Gamaleyavirus	bacteria
Gambievirus	invertebrates
Gammaarterivirus	vertebrates
Gammabaculovirus	invertebrates
Gammacarmovirus	plants
Gammacoronavirus	vertebrates
Gammaentomopoxvirus	invertebrates
Gammaflexivirus	fungi
Gammafusarivirus	fungi
Gammahypovirus	fungi
Gammainfluenzavirus	vertebrates
Gammanucleorhabdovirus	plants
Gammanudivirus	invertebrates
Gammapapillomavirus	vertebrates
Gammapartitivirus	fungi
Gammapleolipovirus	archaea
Gammapolyomavirus	vertebrates
Gammaretrovirus	vertebrates
Gammascleroulivirus	algae+fungi
Gammatectivirus	bacteria
Gammatorquevirus	vertebrates
Gamtrevirus	bacteria
Ganiavirus	invertebrates
Gaprivervirus	bacteria
Garnievirus	bacteria
Garovuvirus	bacteria
Gaunavirus	bacteria
Gediminasvirus	bacteria
Gegavirus	bacteria
Gegevirus	bacteria
Gehnevirus	bacteria
Gehrmavirus	bacteria
Gelderlandvirus	bacteria
Gemsvirus	bacteria
Gemycircularvirus	fungi+invertebrates+plants+sewage (S)+vertebrates
Gemyduguivirus	invertebrates+plants+vertebrates
Gemygorvirus	plants+sewage (S)+vertebrates
Gemykibivirus	invertebrates+plants+sewage (S)+vertebrates
Gemykolovirus	invertebrates+plants+vertebrates
Gemykrogvirus	invertebrates+sewage (S)+vertebrates
Gemykroznavirus	invertebrates+plants+vertebrates
Gemytondvirus	vertebrates
Gemytripvirus	fungi
Gemyvongvirus	vertebrates
Gequatrovirus	bacteria
Gernuduvirus	bacteria
Gervaisevirus	bacteria
Gesputvirus	bacteria
Getalongvirus	bacteria
Getseptimavirus	bacteria
Ghobesvirus	bacteria
Ghunavirus	bacteria
Giardiavirus	protists
Gibbetvirus	bacteria
Gifriavirus	bacteria
Gihfavirus	bacteria
Gilesvirus	bacteria
Gillianvirus	bacteria
Gilsonvirus	bacteria
Gimaduovirus	bacteria
Gimeltorquevirus	vertebrates
Gladiatorvirus	bacteria
Glaedevirus	bacteria
Glamdringvirus	protists (S)
Glaucusvirus	bacteria
Glazvirus	archaea
Glincaevirus	bacteria
